Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,178.720001,180.740005,174.600006,179.699997,178.830170,31500
2017-01-04,179.889999,181.000000,176.070007,179.960007,179.088913,17500
2017-01-05,180.009995,181.000000,178.009995,179.300003,178.432098,20800
2017-01-06,178.880005,179.600006,176.009995,177.210007,176.352219,21700
2017-01-09,177.000000,177.000000,172.300003,173.169998,172.331772,33000
2017-01-10,172.389999,173.009995,170.149994,171.729996,170.898743,27000
2017-01-11,171.000000,171.080002,169.770004,170.919998,170.092667,20900
2017-01-12,170.520004,170.520004,168.369995,169.300003,168.480499,17000
2017-01-13,168.699997,170.139999,167.800003,170.100006,169.276627,24600
2017-01-17,169.160004,169.990005,166.050003,166.710007,165.903046,20800
2017-01-18,167.039993,168.250000,165.600006,168.000000,167.186783,18100
2017-01-19,167.169998,167.990005,166.279999,166.410004,165.604492,14000
2017-01-20,166.699997,168.059998,166.009995,166.639999,165.833389,14900
2017-01-23,166.270004,169.130005,166.210007,167.690002,166.878296,16600
2017-01-24,167.300003,170.000000,167.300003,169.600006,168.779068,23600
2017-01-25,169.600006,170.270004,168.800003,169.350006,168.779068,32100
2017-01-26,168.529999,168.979996,165.889999,166.490005,165.928711,20900
2017-01-27,166.259995,166.960007,165.279999,165.910004,165.350662,14400
2017-01-30,165.100006,165.369995,162.979996,164.500000,163.945404,16700
2017-01-31,164.089996,169.330002,162.309998,168.839996,168.270782,26100
2017-02-01,169.789993,169.820007,167.539993,168.220001,167.652863,27400
2017-02-02,168.800003,169.800003,168.679993,169.320007,168.749161,14600
2017-02-03,169.500000,171.570007,169.500000,171.160004,170.582962,18000
2017-02-06,170.949997,171.990005,170.630005,171.289993,170.712494,15300
2017-02-07,171.410004,173.479996,170.779999,172.339996,171.758957,26000
2017-02-08,183.979996,183.979996,171.759995,172.990005,172.406784,18500
2017-02-09,173.889999,178.479996,172.860001,176.399994,175.805283,31000
2017-02-10,177.300003,177.429993,174.830002,177.000000,176.403259,10000
2017-02-13,176.500000,176.919998,174.320007,176.500000,175.904953,22200
2017-02-14,176.399994,176.410004,174.199997,174.279999,173.692429,13900
2017-02-15,174.399994,175.050003,174.070007,174.440002,173.851898,18300
2017-02-16,174.100006,175.119995,174.100006,175.089996,174.499695,10800
2017-02-17,175.529999,177.600006,175.529999,177.059998,176.463058,19600
2017-02-21,177.850006,181.270004,177.850006,181.089996,180.479477,32800
2017-02-22,180.729996,181.149994,178.830002,180.570007,179.961243,19300
2017-02-23,180.919998,181.229996,177.330002,180.839996,180.230316,18700
2017-02-24,179.800003,180.070007,176.440002,177.320007,176.722198,16700
2017-02-27,177.740005,178.279999,175.020004,176.399994,175.805283,30700
2017-02-28,176.690002,176.690002,171.500000,172.070007,171.489899,29100
2017-03-01,172.600006,175.789993,172.600006,174.509995,173.921661,32600
2017-03-02,174.429993,174.750000,173.070007,174.020004,173.433319,15200
2017-03-03,173.990005,174.820007,172.270004,174.289993,173.702393,18900
2017-03-06,173.800003,175.149994,173.160004,173.410004,172.825378,19000
2017-03-07,172.979996,175.960007,172.979996,174.550003,173.961533,16000
2017-03-08,174.559998,175.990005,172.190002,174.350006,173.762207,28300
2017-03-09,172.100006,179.570007,172.000000,173.000000,172.416748,40700
2017-03-10,174.229996,176.850006,171.320007,171.740005,171.160995,21900
2017-03-13,170.929993,173.320007,170.929993,171.220001,170.642746,23900
2017-03-14,179.490005,188.389999,178.500000,186.500000,185.871231,255800
2017-03-15,185.619995,191.600006,183.190002,189.039993,188.402649,929500
2017-03-16,188.759995,193.779999,188.759995,192.380005,191.731415,104700
2017-03-17,192.080002,195.740005,192.080002,194.029999,193.375839,120600
2017-03-20,194.270004,195.699997,192.639999,195.229996,194.571793,44900
2017-03-21,195.619995,198.000000,194.500000,195.000000,194.342575,84000
2017-03-22,193.690002,196.699997,193.690002,195.830002,195.169785,64500
2017-03-23,195.050003,200.580002,195.050003,198.520004,197.850723,71800
2017-03-24,198.789993,198.899994,197.139999,197.279999,196.614883,32900
2017-03-27,196.199997,200.750000,196.000000,199.380005,198.707825,45000
2017-03-28,199.210007,202.429993,198.050003,202.000000,201.318985,48600
2017-03-29,201.600006,202.899994,200.320007,202.259995,201.578110,39700
2017-03-30,202.940002,204.250000,201.000000,203.750000,203.063080,38000
2017-03-31,203.559998,207.399994,203.339996,206.020004,205.325424,53900
2017-04-03,206.100006,206.100006,199.080002,199.309998,198.638062,48000
2017-04-04,199.320007,202.649994,199.320007,202.020004,201.338928,40300
2017-04-05,202.449997,202.449997,199.649994,199.669998,198.996826,32600
2017-04-06,199.800003,199.800003,198.100006,198.669998,198.000214,25100
2017-04-07,198.460007,200.360001,198.419998,199.210007,198.538391,51800
2017-04-10,199.460007,205.699997,199.460007,204.339996,203.651093,35300
2017-04-11,204.589996,204.589996,202.729996,203.910004,203.222534,23000
2017-04-12,203.770004,204.009995,200.910004,202.509995,201.827271,19600
2017-04-13,201.770004,204.779999,201.630005,202.179993,201.498367,23800
2017-04-17,203.289993,207.559998,203.000000,207.449997,206.750595,19600
2017-04-18,207.399994,209.919998,205.009995,207.389999,206.690811,27800
2017-04-19,208.509995,209.339996,207.169998,208.229996,207.527969,18700
2017-04-20,208.820007,210.250000,207.500000,209.820007,209.112625,37300
2017-04-21,209.300003,209.559998,203.419998,204.899994,204.209198,34200
2017-04-24,206.020004,210.889999,206.020004,209.100006,208.395050,31400
2017-04-25,210.679993,214.710007,205.750000,207.289993,206.591141,77900
2017-04-26,206.110001,210.179993,205.729996,208.350006,207.898315,34000
2017-04-27,208.619995,211.210007,208.460007,209.919998,209.464905,37400
2017-04-28,210.110001,213.389999,207.490005,211.860001,211.400696,30400
2017-05-01,213.360001,214.539993,208.179993,209.649994,209.195480,38600
2017-05-02,210.610001,213.649994,206.899994,207.000000,206.551239,60400
2017-05-03,206.699997,210.770004,203.500000,204.190002,203.747330,51600
2017-05-04,204.699997,205.880005,203.250000,205.149994,204.705231,41200
2017-05-05,205.380005,206.380005,203.330002,205.740005,205.293976,31200
2017-05-08,205.740005,206.339996,203.360001,205.000000,204.555557,37800
2017-05-09,204.729996,205.679993,202.050003,203.149994,202.709579,45800
2017-05-10,202.009995,209.000000,195.949997,204.570007,204.126511,91300
2017-05-11,205.089996,206.500000,202.740005,203.669998,203.228455,51000
2017-05-12,204.539993,204.539993,198.110001,199.929993,199.496552,39800
2017-05-15,199.850006,202.449997,199.100006,199.300003,198.867935,53600
2017-05-16,199.990005,202.000000,199.139999,200.110001,199.676178,64400
2017-05-17,198.220001,201.639999,197.529999,199.820007,199.386810,68300
2017-05-18,200.169998,203.509995,199.639999,201.559998,201.123016,70300
2017-05-19,201.889999,205.500000,200.919998,204.419998,203.976822,45500
2017-05-22,205.470001,216.050003,205.460007,214.419998,213.955139,66100
2017-05-23,215.809998,217.699997,213.000000,215.110001,214.643661,42800
2017-05-24,215.850006,227.229996,215.649994,225.250000,224.761673,104400
2017-05-25,226.550003,229.839996,219.539993,223.059998,222.576416,71300
2017-05-26,224.399994,228.699997,222.199997,225.669998,225.180756,46400
2017-05-30,226.020004,228.500000,223.550003,227.410004,226.916977,67300
2017-05-31,228.199997,228.199997,225.139999,227.740005,227.246277,84100
2017-06-01,228.479996,231.460007,225.279999,231.210007,230.708755,57100
2017-06-02,232.779999,235.779999,231.220001,231.750000,231.247574,47300
2017-06-05,232.940002,232.940002,225.910004,225.910004,225.420242,53000
2017-06-06,225.990005,229.559998,224.029999,226.410004,225.919159,44000
2017-06-07,226.660004,230.419998,225.250000,230.110001,229.611145,30100
2017-06-08,230.220001,231.100006,226.029999,228.850006,228.353867,30800
2017-06-09,229.110001,232.380005,225.000000,227.059998,226.567734,28400
2017-06-12,226.520004,229.889999,224.000000,228.639999,228.144318,26600
2017-06-13,229.570007,231.690002,227.940002,231.690002,231.187714,39900
2017-06-14,232.000000,236.520004,231.740005,236.220001,235.707886,25900
2017-06-15,233.979996,240.449997,231.509995,238.869995,238.352142,37700
2017-06-16,237.160004,237.259995,231.279999,234.160004,233.652359,59700
2017-06-19,234.699997,237.850006,234.699997,235.889999,235.378601,21600
2017-06-20,235.669998,235.759995,232.850006,235.380005,234.869705,31800
2017-06-21,234.949997,236.500000,232.610001,234.789993,234.280991,19100
2017-06-22,234.830002,235.089996,233.039993,233.050003,232.544754,19800
2017-06-23,233.130005,235.729996,231.639999,235.660004,235.149109,32800
2017-06-26,235.789993,237.580002,232.610001,233.820007,233.313095,39500
2017-06-27,232.729996,232.860001,227.369995,227.369995,226.877060,31000
2017-06-28,228.070007,234.929993,228.070007,233.110001,232.604630,26000
2017-06-29,233.520004,234.210007,229.880005,230.750000,230.249756,18200
2017-06-30,232.009995,234.539993,228.440002,228.869995,228.373810,19200
2017-07-03,229.080002,229.960007,223.509995,224.259995,223.773804,12500
2017-07-05,224.259995,225.330002,221.449997,224.880005,224.392471,29400
2017-07-06,222.779999,226.139999,220.809998,224.539993,224.053207,25100
2017-07-07,225.550003,229.699997,225.119995,226.960007,226.467957,23900
2017-07-10,228.970001,229.479996,225.220001,226.559998,226.068832,49100
2017-07-11,225.960007,229.770004,225.960007,227.490005,226.996826,43800
2017-07-12,228.679993,232.309998,228.500000,232.309998,231.806351,32800
2017-07-13,232.210007,232.210007,225.759995,229.839996,229.341705,28900
2017-07-14,229.479996,236.000000,229.479996,235.550003,235.039337,34000
2017-07-17,235.000000,239.500000,232.520004,236.820007,236.306595,51100
2017-07-18,236.649994,238.949997,234.119995,234.149994,233.642380,41000
2017-07-19,234.149994,238.830002,234.149994,236.399994,235.887497,37600
2017-07-20,238.029999,242.729996,236.419998,241.800003,241.275787,36300
2017-07-21,243.220001,244.669998,239.850006,240.860001,240.337830,29700
2017-07-24,241.860001,241.860001,237.500000,238.330002,237.813309,33800
2017-07-25,239.479996,239.699997,237.000000,238.089996,237.573822,15300
2017-07-26,239.389999,242.190002,238.669998,241.869995,241.599304,22300
2017-07-27,242.529999,249.539993,242.529999,244.039993,243.766876,36500
2017-07-28,243.610001,245.500000,239.559998,240.539993,240.270798,21200
2017-07-31,241.570007,244.539993,239.190002,240.089996,239.821304,23700
2017-08-01,241.919998,242.330002,239.820007,240.080002,239.811325,21800
2017-08-02,240.050003,240.970001,236.369995,238.500000,238.233093,21500
2017-08-03,241.600006,241.600006,237.500000,238.399994,238.133194,17100
2017-08-04,239.919998,240.130005,237.000000,238.800003,238.532761,13300
2017-08-07,239.100006,242.970001,239.100006,242.520004,242.248596,15700
2017-08-08,242.179993,244.800003,240.300003,242.449997,242.178665,28700
2017-08-09,241.940002,241.940002,200.100006,206.839996,206.608521,147700
2017-08-10,208.009995,212.139999,208.009995,210.970001,210.733902,61900
2017-08-11,211.080002,212.720001,208.800003,208.809998,208.576309,31800
2017-08-14,210.789993,211.729996,209.009995,210.539993,210.304367,35900
2017-08-15,211.490005,212.539993,208.550003,212.199997,211.962509,28800
2017-08-16,212.199997,213.619995,212.199997,213.360001,213.121216,27900
2017-08-17,213.339996,215.770004,206.160004,208.220001,207.986969,36200
2017-08-18,206.220001,208.110001,201.539993,204.669998,204.440948,29400
2017-08-21,204.869995,207.779999,204.000000,205.179993,204.950363,25900
2017-08-22,205.639999,211.740005,204.630005,210.070007,209.834915,28200
2017-08-23,209.300003,210.899994,207.220001,208.729996,208.496399,26600
2017-08-24,208.729996,209.490005,206.059998,208.190002,207.957016,34900
2017-08-25,208.979996,210.000000,202.500000,202.639999,202.413223,29000
2017-08-28,202.149994,206.199997,202.149994,205.960007,205.729507,22800
2017-08-29,205.639999,209.990005,205.639999,209.580002,209.345459,34600
2017-08-30,209.830002,212.949997,209.830002,211.669998,211.433105,32600
2017-08-31,212.330002,217.449997,212.330002,213.589996,213.350967,40300
2017-09-01,213.809998,217.089996,208.649994,212.949997,212.711670,27800
2017-09-05,212.990005,212.990005,209.449997,210.750000,210.514145,22200
2017-09-06,210.580002,213.070007,209.720001,212.500000,212.262177,23600
2017-09-07,212.910004,212.910004,210.830002,212.470001,212.232224,23600
2017-09-08,210.270004,212.500000,210.270004,212.289993,212.052414,15500
2017-09-11,213.940002,216.679993,212.830002,215.059998,214.819321,29600
2017-09-12,216.460007,216.500000,211.949997,212.889999,212.651749,19300
2017-09-13,212.619995,214.630005,210.240005,211.179993,210.943649,21600
2017-09-14,210.990005,210.990005,207.369995,208.990005,208.756119,32800
2017-09-15,208.050003,209.949997,206.809998,208.889999,208.656219,74700
2017-09-18,208.410004,211.970001,208.410004,210.889999,210.653992,41200
2017-09-19,211.179993,214.630005,209.289993,211.389999,211.153427,33300
2017-09-20,210.770004,212.139999,208.000000,209.580002,209.345459,31400
2017-09-21,208.949997,209.809998,207.809998,208.770004,208.536362,27900
2017-09-22,209.050003,210.800003,208.419998,209.300003,209.065765,29600
2017-09-25,208.570007,211.009995,208.570007,210.619995,210.384277,39500
2017-09-26,210.179993,214.000000,208.789993,210.250000,210.014694,42300
2017-09-27,211.110001,213.539993,208.009995,213.050003,212.811569,47100
2017-09-28,213.100006,216.270004,210.869995,215.009995,214.769363,46900
2017-09-29,215.690002,218.130005,213.669998,215.750000,215.508545,31800
2017-10-02,216.919998,218.919998,215.490005,217.960007,217.716080,30300
2017-10-03,219.009995,219.800003,217.119995,219.000000,218.754913,38300
2017-10-04,219.449997,220.910004,217.770004,220.449997,220.203278,20300
2017-10-05,221.600006,223.470001,220.119995,221.529999,221.282074,49100
2017-10-06,221.130005,221.130005,217.899994,218.910004,218.665009,33700
2017-10-09,219.500000,223.399994,218.910004,220.600006,220.353119,40800
2017-10-10,221.479996,223.490005,219.960007,223.320007,223.070084,36100
2017-10-11,223.369995,227.369995,223.369995,226.369995,226.116653,40100
2017-10-12,226.369995,226.399994,224.660004,225.509995,225.257614,27600
2017-10-13,225.990005,227.899994,225.300003,225.300003,225.047867,28300
2017-10-16,224.850006,228.029999,224.850006,227.100006,226.845856,30900
2017-10-17,227.000000,227.229996,222.789993,225.899994,225.647186,38500
2017-10-18,226.000000,227.960007,222.500000,226.279999,226.026764,20300
2017-10-19,226.300003,227.300003,223.809998,225.740005,225.487366,26600
