Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,121.860001,122.000000,118.959999,119.620003,116.615036,5123800
2017-01-04,119.000000,119.739998,118.180000,119.480003,116.478561,3780800
2017-01-05,119.339996,120.199997,119.099998,119.699997,116.693024,4261100
2017-01-06,118.930000,121.500000,118.519997,120.760002,117.726402,4089200
2017-01-09,120.760002,121.059998,120.330002,120.430000,117.404694,2976700
2017-01-10,120.459999,120.849998,119.730003,120.250000,117.229210,3108400
2017-01-11,120.930000,121.500000,120.620003,120.879997,117.843391,3565200
2017-01-12,120.300003,122.309998,120.199997,122.099998,119.032730,3480700
2017-01-13,122.239998,122.239998,121.099998,121.500000,118.447807,2877400
2017-01-17,120.750000,122.800003,120.699997,122.750000,119.666412,4069800
2017-01-18,122.809998,123.000000,121.800003,122.709999,119.627419,3395000
2017-01-19,122.239998,123.000000,122.040001,122.180000,119.110725,3155200
2017-01-20,122.260002,122.949997,122.019997,122.260002,119.188713,4887100
2017-01-23,121.690002,122.080002,119.820000,121.379997,118.330826,7022600
2017-01-24,121.970001,122.059998,120.519997,121.050003,118.009117,3495200
2017-01-25,121.489998,121.919998,120.949997,121.790001,118.730522,3968300
2017-01-26,121.860001,122.379997,121.760002,121.879997,118.818260,2497300
2017-01-27,122.269997,122.989998,121.480003,122.860001,119.773651,3592700
2017-01-30,122.809998,123.209999,122.300003,123.019997,119.929619,3778000
2017-01-31,123.019997,123.339996,122.099998,122.570000,119.490929,3733300
2017-02-01,121.900002,122.500000,121.699997,122.419998,119.344696,3233400
2017-02-02,122.540001,123.980003,122.260002,123.220001,120.124603,3236600
2017-02-03,123.309998,124.510002,123.279999,124.239998,121.118973,3183000
2017-02-06,124.089996,124.900002,123.949997,124.449997,121.323700,2760300
2017-02-07,124.949997,125.419998,124.589996,124.589996,121.460182,2847200
2017-02-08,124.580002,125.360001,124.489998,124.669998,121.538170,2835200
2017-02-09,124.669998,125.000000,124.360001,124.480003,121.352951,2493600
2017-02-10,124.680000,126.110001,124.519997,125.820000,122.659286,3681400
2017-02-13,126.019997,126.680000,125.489998,125.540001,122.386330,2993800
2017-02-14,125.500000,126.070000,125.269997,125.809998,122.649536,2662400
2017-02-15,125.660004,126.790001,125.449997,126.480003,123.302719,2974900
2017-02-16,126.750000,127.820000,126.309998,126.699997,123.517174,3006000
2017-02-17,126.779999,127.879997,126.680000,127.800003,124.589554,3677400
2017-02-21,127.160004,128.320007,127.160004,128.039993,124.823509,4495200
2017-02-22,127.519997,128.110001,126.400002,127.849998,124.638290,3670700
2017-02-23,127.930000,128.899994,127.440002,128.270004,125.047745,3178000
2017-02-24,128.360001,128.740005,127.750000,128.649994,125.418198,3537200
2017-02-27,127.680000,127.750000,126.779999,126.989998,124.711113,5184000
2017-02-28,127.080002,127.930000,126.580002,127.650002,125.359276,4619300
